id,vendor,purchase_date,items,subtotal,tax,total,note,category,status,r2_key,photo,created_at,updated_at
exp_2,"Lowe's Home Centers, LLC",2026-05-12,"[{""name"":""ITEMS"",""price"":93.87}]",88.91,4.96,93.87,,Equipment,ok,receipts/2026/07/2026-07-20T00-19-53-654Z-68564767.jpg,expenses/thumbs/2026-07-20T00-19-53-654Z-68564767.jpg,2026-05-12T00:19:53Z,2026-05-12T00:19:53Z
exp_3,Jack Oliver Pools,2026-07-19,"[{""name"":""ITEMS"",""price"":43.64}]",41.56,2.08,43.64,,Chemicals,ok,receipts/2026/07/2026-07-20T01-47-43-767Z-7c8f54cd.jpg,expenses/thumbs/2026-07-20T01-47-43-767Z-7c8f54cd.jpg,2026-07-19T01:47:43Z,2026-07-19T01:47:43Z
exp_4,COLUMBIA'S HOME IMPROVEMENT HEADQUARTERS,2026-07-19,"[{""name"":""ITEMS"",""price"":32.88}]",31.31,1.57,32.88,,Supplies,ok,receipts/2026/07/2026-07-20T01-48-15-014Z-28e9d594.jpg,expenses/thumbs/2026-07-20T01-48-15-014Z-28e9d594.jpg,2026-07-19T01:48:15Z,2026-07-19T01:48:15Z
exp_5,Jack Oliver Pools,2026-07-19,"[{""name"":""ITEMS"",""price"":43.42}]",41.35,2.07,43.42,,Chemicals,ok,receipts/2026/07/2026-07-20T01-48-38-703Z-058ee4ce.jpg,expenses/thumbs/2026-07-20T01-48-38-703Z-058ee4ce.jpg,2026-07-19T01:48:38Z,2026-07-19T01:48:38Z
exp_6,LOWE'S,2026-04-18,"[{""name"": ""SKIL 15-AMP 7-1/4-IN CIRC"", ""price"": 69.98}]",69.98,5.62,75.60,,Equipment,ok,receipts/2026/07/2026-07-20T06-09-38-779Z-2a5f979d.jpg,expenses/thumbs/2026-07-20T06-09-38-779Z-2a5f979d.jpg,2026-07-20T06:09:38.779Z,2026-07-20T06:13:24.783259+00:00
exp_7,Home Depot,2026-05-08,"[{""name"": ""36IN PW WAND"", ""price"": 43.97}, {""name"": ""36-IN UNIV WAND"", ""price"": 4500.0}, {""name"": ""1GALCLEANER"", ""price"": 25.96}, {""name"": ""DAWN PLAT FRESH RAIN LIQUID"", ""price"": 12.96}]",82.89,6.63,89.52,,Supplies,ok,receipts/2026/07/2026-07-20T06-09-46-610Z-f1777a57.jpg,expenses/thumbs/2026-07-20T06-09-46-610Z-f1777a57.jpg,2026-07-20T06:09:46.610Z,2026-07-20T06:13:40.372887+00:00
exp_8,LOWE'S,2026-05-12,"[{""name"": ""5-GAL LOWES BUCKET-UNITED"", ""price"": 4.58}, {""name"": ""16-FT ETTORE EXTENSION PO"", ""price"": 9.98}, {""name"": ""JH 12-IN ETTORE WINDOW MA"", ""price"": 15.98}, {""name"": ""KOBALT 12FT 1500LB RATCHE"", ""price"": 8.76}, {""name"": ""24-IN STRAIGHT FLOOR SQUE"", ""price"": 18.48}]",93.87,,93.87,,Supplies,ok,receipts/2026/07/2026-07-20T06-09-49-352Z-00b15bd2.jpg,expenses/thumbs/2026-07-20T06-09-49-352Z-00b15bd2.jpg,2026-07-20T06:09:49.352Z,2026-07-20T06:13:56.195572+00:00
exp_9,"LOWE'S HOME CENTERS, LLC",2026-05-12,"[{""name"": ""2260158 5-GAL BLUE LID-UNITED (+2)"", ""price"": 4.56}, {""name"": ""954434 5-GAL LOWES BUCKET-UNITED"", ""price"": 9.16}, {""name"": ""109411 16-FT ETTORE EXTENSION PO"", ""price"": 29.98}, {""name"": ""202656 JH 12-IN ETTORE WINDOW VA"", ""price"": 15.98}, {""name"": ""6600790 KOBALT 12FT 1500LB RATCHE"", ""price"": 8.76}, {""name"": ""753246 24-IN STRAIGHT FLOOR SQUE"", ""price"": 18.48}]",86.92,6.95,93.87,,Equipment,ok,receipts/2026/07/2026-07-20T06-09-52-574Z-08f7b1e1.jpg,expenses/thumbs/2026-07-20T06-09-52-574Z-08f7b1e1.jpg,2026-07-20T06:09:52.574Z,2026-07-20T06:14:12.221832+00:00
exp_10,Jack Oliver Pools,2026-05-13,[],33.40,,33.40,,Other,ok,receipts/2026/07/2026-07-20T06-09-54-268Z-57338709.jpg,expenses/thumbs/2026-07-20T06-09-54-268Z-57338709.jpg,2026-07-20T06:09:54.268Z,2026-07-20T06:14:26.378844+00:00
exp_11,LOWE'S,2026-05-15,"[{""name"": ""6305865 SHX PRO SPRAY HANDLE 1/4\"""", ""price"": 44.98}]",44.98,3.60,48.58,,Supplies,ok,receipts/2026/07/2026-07-20T06-09-55-932Z-1b84f0d2.jpg,expenses/thumbs/2026-07-20T06-09-55-932Z-1b84f0d2.jpg,2026-07-20T06:09:55.932Z,2026-07-20T06:14:40.965514+00:00
exp_12,LOWE'S,2026-05-15,"[{""name"": ""6305865 SMX PRO SPRAY HANDLE 1/4\"""", ""price"": 44.98}]",44.98,3.60,48.58,,Supplies,ok,receipts/2026/07/2026-07-20T06-09-57-843Z-3e58a43c.jpg,expenses/thumbs/2026-07-20T06-09-57-843Z-3e58a43c.jpg,2026-07-20T06:09:57.843Z,2026-07-20T06:14:55.778458+00:00
exp_13,The Home Depot,2026-05-27,"[{""name"": ""RYOBI 2PC MED. BRISTLE CLEANING KIT"", ""price"": 12.97}, {""name"": ""MIRA BRIGH OUTDOOR CLEANER 1 GAL"", ""price"": 38.94}, {""name"": ""DAWN PLAT PLUS SPRAY FRESH 16OZ"", ""price"": 5.97}]",57.88,4.63,62.51,,Supplies,ok,receipts/2026/07/2026-07-20T06-09-59-391Z-fc1dfbaf.jpg,expenses/thumbs/2026-07-20T06-09-59-391Z-fc1dfbaf.jpg,2026-07-20T06:09:59.391Z,2026-07-20T06:15:11.132028+00:00
exp_14,Walmart,2026-05-28,"[{""name"": ""PARM 095 100"", ""price"": 38.98}, {""name"": ""EG 2PK BBQ"", ""price"": 10.96}, {""name"": ""1GL GAS CAN"", ""price"": 1.84}]",38.98,3.12,42.10,,Other,ok,receipts/2026/07/2026-07-20T06-10-00-912Z-59d64cf1.jpg,expenses/thumbs/2026-07-20T06-10-00-912Z-59d64cf1.jpg,2026-07-20T06:10:00.912Z,2026-07-20T06:15:26.090534+00:00
